30,765,702,669,870,null
299,764,700,671,869,null
299,766,701,668,870,null
301,766,701,668,870,null
300,766,703,670,871,null
301,768,703,670,869,null
300,765,699,672,872,null
301,762,700,670,867,null
300,765,703,672,871,null
300,768,702,672,872,null
300,767,702,670,872,null
300,768,702,670,870,null
301,769,704,672,870,null
300,765,700,671,871,null
300,765,700,670,868,null
300,765,700,670,868,null
301,767,702,670,868,null
301,767,702,670,872,null
300,764,700,670,870,null
300,766,701,670,872,null
301,768,702,671,870,null
300,765,703,671,867,null
300,765,703,668,870,null
301,767,701,669,871,null
301,767,701,668,869,null
301,767,704,670,870,null
301,765,702,671,872,null
301,764,702,671,870,null
300,767,704,672,869,null
298,766,704,672,870,null
301,767,702,672,872,null
300,767,703,670,872,null
300,766,702,670,870,null
301,765,702,672,870,null
300,766,702,669,873,null
300,767,701,670,871,null
300,765,701,670,870,null
300,768,702,672,869,null
300,765,702,671,869,null
301,767,700,670,868,null
301,767,702,669,869,null
300,767,702,670,870,null
300,766,701,670,873,null
301,769,702,668,868,null
301,767,705,672,871,null
301,768,704,671,869,null
300,766,700,672,871,null
300,766,701,670,870,null
301,767,700,670,871,null
300,764,697,670,870,null
301,765,701,670,870,null
300,767,698,662,873,null
301,766,702,671,872,null
301,768,703,670,870,null
300,766,701,671,872,null
301,766,702,672,866,null
301,766,700,670,869,null
301,766,700,669,869,null
300,767,702,672,871,null
300,766,701,670,872,null
300,767,702,670,871,null
299,765,700,670,867,null
300,768,702,671,872,null
300,766,702,671,872,null
300,767,701,671,870,null
301,766,700,670,871,null
300,767,701,670,869,null
300,765,701,670,869,null
300,764,701,669,868,null
298,763,700,670,867,null
299,763,701,669,866,null
300,762,700,669,869,null
300,764,701,668,867,null
300,764,700,670,869,null
299,765,701,668,868,null
300,765,699,668,869,null
299,764,700,669,870,null
300,764,701,668,869,null
300,764,701,670,864,null
299,764,699,669,868,null
300,764,700,669,867,null
300,765,700,667,867,null
300,766,700,669,862,null
300,768,703,671,871,null
299,767,702,670,869,null
301,768,701,669,870,null
301,766,702,671,870,null
301,765,703,670,871,null
300,765,701,670,870,null
301,765,702,666,872,null
301,765,704,672,870,null
300,766,703,671,871,null
299,766,702,671,871,null
300,766,703,670,871,null
300,768,700,672,870,null
300,765,700,670,863,null
301,765,702,671,871,null
301,767,704,671,870,null
301,766,701,670,868,null
300,766,701,670,870,null
301,767,702,670,869,null
301,766,701,672,869,null
301,766,702,671,870,null
300,764,702,672,870,null
299,765,702,672,872,null
300,766,702,672,871,null
301,767,700,668,865,null
300,766,703,672,868,null
300,767,701,670,872,null
300,767,701,669,870,null
300,765,701,670,869,null
300,768,702,670,870,null
300,767,704,671,870,null
300,767,702,669,867,null
300,768,703,670,871,null
299,767,703,669,869,null
300,765,702,671,870,null
300,766,702,671,872,null
302,768,701,670,871,null
300,768,703,672,869,null
300,768,701,672,871,null
300,765,701,672,870,null
300,766,702,670,870,null
301,768,700,670,869,null
301,766,702,669,870,null
301,764,701,669,869,null
300,768,702,670,869,null
301,768,701,671,870,null
301,760,702,671,872,null
301,766,702,671,871,null
300,768,704,670,868,null
301,767,701,670,868,null
300,766,702,670,863,null
301,766,702,671,871,null
300,762,697,670,870,null
301,765,701,671,871,null
300,767,697,671,869,null
299,762,702,671,871,null
301,765,703,672,872,null
300,764,701,670,870,null
301,766,703,669,870,null
300,766,703,669,868,null
299,766,702,669,869,null
300,767,702,670,871,null
299,765,702,670,867,null
301,766,702,670,870,null
300,766,701,671,870,null
300,765,703,670,871,null
301,766,701,670,871,null
300,768,702,670,871,null
300,766,704,672,872,null
300,767,702,673,870,null
300,766,701,670,871,null
299,766,701,666,866,null
301,768,703,671,870,null
300,766,702,670,869,null
301,767,700,670,870,null
302,766,701,670,869,null
300,766,702,670,869,null
301,765,702,671,872,null
300,767,699,671,871,null
300,765,703,669,869,null
300,765,702,671,871,null
300,765,701,670,871,null
300,766,700,671,871,null
302,767,704,672,870,null
300,766,702,669,872,null
300,766,701,670,870,null
300,766,702,670,868,null
301,768,701,670,869,null
300,765,701,671,867,null
301,762,700,669,868,null
301,766,702,670,871,null
301,767,703,672,871,null
300,766,702,670,871,null
300,768,701,671,870,null
298,766,702,669,871,null
300,766,702,671,870,null
300,766,700,669,871,null
300,767,701,670,870,null
300,764,703,671,870,null
300,765,700,672,872,null
300,766,702,669,872,null
300,767,702,670,870,null
300,768,703,673,872,null
300,768,702,671,870,null
299,764,703,670,870,null
300,764,701,670,868,null
300,766,701,670,869,null
300,766,703,667,861,null
